//
// Dumped for Koikatsu Sunshine v1.0.1 (KoikatsuSunshine) by KKS_TextDump v1.4.5.0
//
タイトル=Title Screen
キャラ一覧=Character List
コーディネート一覧=Clothing Sets List
顔設定一覧=Face Configuration List
体設定一覧=Body Configuration List
髪設定一覧=Hair Configuration Lisst
トップス設定一覧=Tops Configuration List
ボトムス設定一覧=Bottoms Configuration List
ブラ設定一覧=Bra Configuration List
ショーツ設定一覧=Shorts Configuration List
手袋設定一覧=Gloves Configuration List
パンスト設定一覧=Pantyhose Configuration List
靴下設定一覧=Socks Configuration List
靴設定一覧=Shoes Configuration List
アクセサリ設定一覧=Accessory Configuration List
化粧設定一覧=Makeup Configuration List
