//
// Dumped for Koikatsu Sunshine v1.0.1 (KoikatsuSunshine) by KKS_TextDump v1.4.5.0
//
タイトル=Title Screen
キャラ一覧=Character List
コーディネート一覧=Clothing Sets List
顔設定一覧=Face Settings List
体設定一覧=Body Settings List
髪設定一覧=Hair Settings List
トップス設定一覧=Tops Settings List
ボトムス設定一覧=Bottoms Settings List
ブラ設定一覧=Bra Settings List
ショーツ設定一覧=Shorts Settings List
手袋設定一覧=Gloves Settings List
パンスト設定一覧=Pantyhose Settings List
靴下設定一覧=Socks Settings List
靴設定一覧=Shoes Settings List
アクセサリ設定一覧=Accessory Settings List
化粧設定一覧=Makeup Settings List
