//
// Dumped for Koikatsu Sunshine v1.0.3 (KoikatsuSunshine) by KKS_TextDump v1.4.5.2
//
ウィンドウ１=Window 1
ウィンドウ２=Window 2
ウィンドウ３=Window 3
ウィンドウ４=Window 4
ウィンドウ５=Window 5
ウィンドウ６=Window 6
ウィンドウ７=Window 7
ウィンドウ８=Window 8
ウィンドウ９=Window 9
ウィンドウ１０=Window 10
ウィンドウ１１=Window 11
ウィンドウ１２=Window 12
ウィンドウ１３=Window 13
ウィンドウ１４=Window 14
ウィンドウ１５=Window 15
ウィンドウ１６=Window 16
ウィンドウ１７=Window 17
ウィンドウ１８=Window 18
ウィンドウ１９=Window 19
ウィンドウ２０=Window 20
ウィンドウ２１=Window 21
ウィンドウ２２=Window 22
ウィンドウ２３=Window 23
ウィンドウ２４=Window 24
吹き出し１=Speech Balloon 1
吹き出し２=Speech Balloon 2
吹き出し３=Speech Balloon 3
吹き出し４=Speech Balloon 4
吹き出し５=Speech Balloon 5
吹き出し６=Speech Balloon 6
吹き出し７=Speech Balloon 7
吹き出し８=Speech Balloon 8
吹き出し９=Speech Balloon 9
吹き出し１０=Speech Balloon 10
吹き出し１１=Speech Balloon 11
吹き出し１２=Speech Balloon 12
吹き出し１３=Speech Balloon 13
吹き出し１４=Speech Balloon 14
吹き出し１５=Speech Balloon 15
吹き出し１６=Speech Balloon 16
吹き出し１７=Speech Balloon 17
吹き出し１８=Speech Balloon 18
吹き出し１９=Speech Balloon 19
吹き出し２０=Speech Balloon 20
吹き出し２１=Speech Balloon 21
吹き出し２２=Speech Balloon 22
吹き出し２３=Speech Balloon 23
吹き出し２４=Speech Balloon 24
吹き出し２５=Speech Balloon 25
吹き出し２６=Speech Balloon 26
吹き出し２７=Speech Balloon 27
吹き出し２８=Speech Balloon 28
吹き出し２９=Speech Balloon 29
吹き出し３０=Speech Balloon 30
吹き出し３１=Speech Balloon 31
吹き出し３２=Speech Balloon 32
吹き出し３３=Speech Balloon 33
吹き出し３４=Speech Balloon 34
吹き出し３５=Speech Balloon 35
吹き出し３６=Speech Balloon 36
吹き出し３７=Speech Balloon 37
吹き出し３８=Speech Balloon 38
吹き出し３９=Speech Balloon 39
吹き出し４０=Speech Balloon 40
吹き出し４１=Speech Balloon 41
吹き出し４２=Speech Balloon 42
